time_from_start,number_of_rows_finished
257.64436435699463,28478
257.7136743068695,28488
257.7404451370239,28520
257.91469955444336,28552
258.22940373420715,28562
258.6666157245636,28594
258.71595454216003,28626
258.74460792541504,28658
258.78497529029846,28660
258.9818525314331,28670
259.0601575374603,28680
259.2087597846985,28693
259.2404987812042,28725
259.3905339241028,28735
259.6673707962036,28748
259.9751613140106,28780
260.2606875896454,28812
260.2965967655182,28822
260.44177079200745,28854
260.5786600112915,28864
260.64702820777893,28866
260.66200709342957,28898
260.8323030471802,28903
261.16031098365784,28913
261.2836194038391,28945
261.4742476940155,28977
261.5492362976074,28979
261.6013443470001,28989
262.2651035785675,29021
262.56464099884033,29053
262.5944654941559,29085
262.7427325248718,29117
262.9263844490051,29127
262.9954071044922,29129
263.2735986709595,29161
263.57324981689453,29193
263.74054861068726,29225
263.8940830230713,29235
263.9979703426361,29267
264.05461287498474,29277
264.2105758190155,29287
264.2636797428131,29319
264.46546626091003,29332
264.55153346061707,29342
264.6714117527008,29355
264.9897692203522,29365
265.07662057876587,29397
265.4093701839447,29410
265.48774337768555,29423
265.60970973968506,29455
265.8499608039856,29487
266.2820646762848,29500
266.48827958106995,29532
266.619797706604,29564
266.6619396209717,29596
266.9871754646301,29606
267.28381276130676,29638
267.4838373661041,29670
267.55433201789856,29672
267.6057574748993,29682
267.6313862800598,29714
267.9823098182678,29746
268.06599521636963,29759
268.38765597343445,29769
268.4572551250458,29771
268.55827140808105,29803
268.70620799064636,29835
268.87440752983093,29845
268.979065656662,29877
269.1866524219513,29887
269.30264711380005,29897
269.63053941726685,29907
269.6913323402405,29939
269.7069962024689,29971
270.1865530014038,30003
270.3540086746216,30008
270.6178619861603,30040
270.6685242652893,30050
270.68686270713806,30052
270.697922706604,30084
270.7121169567108,30116
270.79428362846375,30118
271.1105098724365,30131
271.14539313316345,30141
271.88271141052246,30173
272.12835478782654,30205
272.1400167942047,30237
272.160826921463,30269
272.20886754989624,30279
272.4519910812378,30289
272.4567747116089,30299
272.77259278297424,30309
273.1590049266815,30341
273.36103224754333,30373
273.4377770423889,30375
273.4607627391815,30407
273.7852382659912,30417
274.1548795700073,30449
274.5927429199219,30481
274.817764043808,30513
274.8874592781067,30515
274.91416788101196,30525
274.9265503883362,30557
275.16539669036865,30589
275.48595786094666,30599
275.91736912727356,30631
275.9230420589447,30644
276.0103950500488,30676
276.2383825778961,30686
276.25543189048767,30718
276.3074686527252,30720
276.3275308609009,30730
276.93528389930725,30762
277.27071237564087,30794
277.34806418418884,30807
277.3568434715271,30839
277.60253381729126,30871
277.6704308986664,30881
277.9952619075775,30891
278.2810695171356,30923
278.35893726348877,30955
278.59822511672974,30987
278.6676094532013,30989
278.68090057373047,30999
278.7009253501892,31012
278.74829506874084,31014
279.674932718277,31046
279.70773792266846,31078
279.75689244270325,31110
280.0404477119446,31120
280.0725312232971,31152
280.07500314712524,31165
280.07635712623596,31175
280.11052989959717,31177
280.3978042602539,31187
280.42818689346313,31197
281.0578670501709,31229
281.082724571228,31261
281.67585158348083,31293
282.04787278175354,31325
282.0822684764862,31357
282.08568835258484,31370
282.397332906723,31380
282.40288257598877,31412
282.4682524204254,31425
282.53815484046936,31427
282.94825434684753,31440
283.3815801143646,31472
283.424277305603,31504
283.43547439575195,31536
283.6981840133667,31546
283.7719588279724,31556
283.93725085258484,31588
284.0548667907715,31598
284.44372367858887,31630
284.8023462295532,31662
284.8499789237976,31675
284.9339008331299,31707
285.0465233325958,31739
285.1200761795044,31749
285.1639449596405,31759
285.2505440711975,31769
285.317387342453,31771
285.4559338092804,31784
286.1447546482086,31816
286.36111974716187,31848
286.44488430023193,31880
286.4629716873169,31890
286.7019236087799,31922
286.87778663635254,31935
287.3529758453369,31967
287.44638419151306,31999
287.70951294898987,32031
287.8523190021515,32044
287.93618988990784,32046
288.0328426361084,32056
288.365606546402,32088
288.68874430656433,32098
288.7599880695343,32100
288.9349253177643,32132
289.0207362174988,32164
289.259069442749,32196
289.33710765838623,32206
289.3453686237335,32219
289.41637659072876,32221
289.75956106185913,32253
290.16781425476074,32266
290.28456449508667,32298
290.36255145072937,32330
290.5783271789551,32343
290.77388525009155,32356
290.8175673484802,32388
291.28776812553406,32420
291.5773706436157,32452
291.6109549999237,32462
291.7790446281433,32494
291.8161928653717,32526
291.93729424476624,32536
292.1078691482544,32546
292.25719141960144,32556
292.52693939208984,32569
292.57865858078003,32601
292.8204801082611,32633
292.8940899372101,32643
293.0551540851593,32648
293.2421953678131,32661
293.28527784347534,32693
293.51948523521423,32725
293.56122970581055,32735
293.9752867221832,32748
294.30128240585327,32780
294.53335213661194,32812
294.6204605102539,32822
294.78101325035095,32854
295.1299822330475,32886
295.1961348056793,32899
295.52303767204285,32931
295.64078283309937,32963
295.80563497543335,32968
296.1260929107666,32978
296.1421067714691,33010
296.19728350639343,33042
296.4605357646942,33052
296.51371932029724,33084
296.7800250053406,33094
296.82874369621277,33104
297.1425516605377,33114
