time_from_start,number_of_rows_finished
285.5522756576538,24595
285.72523379325867,24608
285.7277798652649,24640
285.8318953514099,24643
286.069420337677,24653
286.0716485977173,24685
286.1492757797241,24695
286.24453258514404,24700
286.6437134742737,24712
287.53738832473755,24744
287.67331981658936,24776
287.7828800678253,24808
288.0168957710266,24840
288.03300166130066,24847
288.17959117889404,24852
288.55189204216003,24884
288.68330693244934,24916
288.97102069854736,24929
288.9996409416199,24939
289.2991805076599,24949
289.407222032547,24962
289.6196961402893,24994
289.84748005867004,25026
289.8917362689972,25033
290.17355251312256,25043
290.40858936309814,25075
290.4861795902252,25077
290.89523792266846,25109
291.07663774490356,25141
291.16800451278687,25173
291.1838047504425,25176
291.20782113075256,25177
291.2622799873352,25187
291.6490788459778,25219
291.97230553627014,25229
292.2945411205292,25261
292.30066657066345,25293
292.56813788414,25301
292.6269676685333,25311
293.4524736404419,25343
293.7804055213928,25353
293.7991464138031,25385
293.84978675842285,25417
293.8733403682709,25449
294.05082535743713,25455
294.1955008506775,25465
294.80348777770996,25497
294.8413655757904,25529
295.13994002342224,25539
295.2442171573639,25571
295.2599823474884,25584
295.3476445674896,25587
295.3623948097229,25590
295.6210994720459,25622
295.94576692581177,25632
296.16602087020874,25664
296.5801339149475,25677
296.9790744781494,25709
297.09703946113586,25741
297.3158645629883,25773
297.3943552970886,25782
297.6899514198303,25814
297.7329366207123,25824
297.88828325271606,25830
298.0938892364502,25862
298.4740192890167,25894
298.76672625541687,25926
298.7739360332489,25935
298.91182827949524,25967
299.35641741752625,25999
299.4599425792694,26002
299.8117952346802,26034
299.84307503700256,26066
299.9447913169861,26098
300.17228841781616,26108
300.19718384742737,26120
300.2402172088623,26129
300.3851099014282,26133
300.50567650794983,26143
300.5484793186188,26175
301.759334564209,26207
302.08736658096313,26217
302.1527090072632,26249
302.16627860069275,26281
302.36320090293884,26287
302.48282122612,26297
302.4875090122223,26329
302.81183791160583,26339
304.300799369812,26371
304.36291241645813,26403
304.46914529800415,26408
304.7098665237427,26440
304.77138566970825,26453
304.8464398384094,26485
305.0291142463684,26495
305.25799560546875,26508
306.4077353477478,26540
306.6348280906677,26572
306.70693278312683,26604
306.7113220691681,26636
306.99223494529724,26645
307.00663709640503,26654
307.02004647254944,26666
307.4261908531189,26698
307.5935642719269,26703
309.195271730423,26735
309.26886439323425,26767
309.4780683517456,26776
309.4995958805084,26783
309.5229649543762,26815
309.872581243515,26826
311.18272733688354,26858
311.4324035644531,26890
311.5638208389282,26922
311.5979745388031,26927
311.63310503959656,26929
311.7573010921478,26961
312.0750997066498,26971
312.19281816482544,27003
312.50850200653076,27013
312.9156119823456,27026
313.36113357543945,27058
314.07177686691284,27090
314.0985815525055,27122
314.1749451160431,27125
314.35547137260437,27157
314.3950946331024,27189
314.455703496933,27192
314.8135049343109,27205
315.096964597702,27237
315.1683928966522,27247
315.4152948856354,27257
315.7380211353302,27267
316.07730770111084,27299
316.1410400867462,27331
316.2423503398895,27363
316.38120102882385,27367
316.7413671016693,27399
317.0606896877289,27409
317.11509895324707,27441
317.14142370224,27473
317.1854522228241,27475
317.334673166275,27481
317.5037260055542,27513
317.50771856307983,27523
317.52646017074585,27529
318.1663658618927,27561
318.17176365852356,27574
318.45501494407654,27583
318.5551280975342,27615
318.70591735839844,27647
318.9085702896118,27658
319.03555035591125,27668
319.2598674297333,27700
319.60677790641785,27710
319.66737937927246,27742
319.9897954463959,27752
320.05138063430786,27784
320.2149133682251,27816
320.26002383232117,27817
320.37536692619324,27827
320.67231273651123,27859
320.98660612106323,27891
321.13476300239563,27903
321.3559205532074,27935
321.56871366500854,27967
321.5931513309479,27974
321.89516949653625,27984
321.98108172416687,28016
322.17031931877136,28048
322.29797101020813,28058
322.3352732658386,28062
322.40017080307007,28065
322.8479378223419,28097
323.1021876335144,28129
323.17452692985535,28139
323.1763367652893,28141
323.4020097255707,28173
323.43188548088074,28205
323.52062368392944,28207
324.30701088905334,28239
324.3422005176544,28271
324.7898619174957,28303
325.0237674713135,28335
325.11875319480896,28345
325.22540283203125,28350
325.31864166259766,28382
325.3766930103302,28414
325.5140697956085,28420
325.7038838863373,28430
325.7732162475586,28432
325.83066415786743,28442
326.97725009918213,28474
327.0992410182953,28506
327.2143223285675,28513
327.34337520599365,28545
327.36528158187866,28577
327.47703552246094,28581
327.6833264827728,28591
329.4777340888977,28623
